"STAID","SOUID","DATE","CC","Q_CC"
1,41384,20170101,-9999,9
1,41384,20170201,-9999,9
1,41384,20170301,-9999,9
1,41384,20170401,-9999,9
1,41384,20170501,-9999,9
1,41384,20170601,-9999,9
1,41384,20170701,-9999,9
1,41384,20170801,-9999,9
1,41384,20170901,-9999,9
1,41384,20171001,-9999,9
2,41575,20170101,-9999,9
2,41575,20170201,-9999,9
2,41575,20170301,-9999,9
2,41575,20170401,-9999,9
2,41575,20170501,-9999,9
2,41575,20170601,-9999,9
2,41575,20170701,-9999,9
2,41575,20170801,-9999,9
2,41575,20170901,-9999,9
2,41575,20171001,-9999,9
3,41694,20170101,-9999,9
3,41694,20170201,-9999,9
3,41694,20170301,-9999,9
3,41694,20170401,-9999,9
3,41694,20170501,-9999,9
3,41694,20170601,-9999,9
3,41694,20170701,-9999,9
3,41694,20170801,-9999,9
3,41694,20170901,-9999,9
3,41694,20171001,-9999,9
4,41461,20170101,4,0
4,41461,20170201,8,0
4,41461,20170301,6,0
4,41461,20170401,4,0
4,41461,20170501,0,0
4,41461,20170601,2,0
4,41461,20170701,5,0
4,41461,20170801,4,0
4,41461,20170901,2,0
4,41461,20171001,3,0
5,41461,20170101,4,0
5,41461,20170201,8,0
5,41461,20170301,6,0
5,41461,20170401,4,0
5,41461,20170501,0,0
5,41461,20170601,2,0
5,41461,20170701,5,0
5,41461,20170801,4,0
5,41461,20170901,2,0
5,41461,20171001,3,0
7,41521,20170101,-9999,9
7,41521,20170201,-9999,9
7,41521,20170301,-9999,9
7,41521,20170401,-9999,9
7,41521,20170501,-9999,9
7,41521,20170601,-9999,9
7,41521,20170701,-9999,9
7,41521,20170801,-9999,9
7,41521,20170901,-9999,9
7,41521,20171001,-9999,9
8,41638,20170101,-9999,9
8,41638,20170201,-9999,9
8,41638,20170301,-9999,9
8,41638,20170401,-9999,9
8,41638,20170501,-9999,9
8,41638,20170601,-9999,9
8,41638,20170701,-9999,9
8,41638,20170801,-9999,9
8,41638,20170901,-9999,9
8,41638,20171001,-9999,9
10,902485,20170101,6,0
10,902485,20170201,8,0
10,902485,20170301,4,0
10,902485,20170401,7,0
10,902485,20170501,0,0
10,902485,20170601,5,0
10,902485,20170701,5,0
10,902485,20170801,3,0
10,902485,20170901,5,0
10,902485,20171001,4,0
11,911012,20170101,7,0
11,911012,20170201,8,0
11,911012,20170301,7,0
11,911012,20170401,1,0
11,911012,20170501,6,0
11,911012,20170601,7,0
11,911012,20170701,7,0
11,911012,20170801,0,0
11,911012,20170901,8,0
11,911012,20171001,8,0
12,911240,20170101,1,0
12,911240,20170201,6,0
12,911240,20170301,5,0
12,911240,20170401,0,0
12,911240,20170501,5,0
12,911240,20170601,6,0
12,911240,20170701,5,0
12,911240,20170801,0,0
12,911240,20170901,5,0
12,911240,20171001,2,0
13,911120,20170101,0,0
13,911120,20170201,8,0
13,911120,20170301,7,0
13,911120,20170401,4,0
13,911120,20170501,5,0
13,911120,20170601,7,0
13,911120,20170701,6,0
13,911120,20170801,2,0
13,911120,20170901,8,0
13,911120,20171001,7,0
14,911150,20170101,1,0
14,911150,20170201,8,0
14,911150,20170301,7,0
14,911150,20170401,3,0
14,911150,20170501,5,0
14,911150,20170601,6,0
14,911150,20170701,6,0
14,911150,20170801,1,0
14,911150,20170901,8,0
14,911150,20171001,7,0
15,911146,20170101,0,0
15,911146,20170201,4,0
15,911146,20170301,2,0
15,911146,20170401,4,0
15,911146,20170501,6,0
15,911146,20170601,6,0
15,911146,20170701,7,0
15,911146,20170801,1,0
15,911146,20170901,8,0
15,911146,20171001,8,0
16,911035,20170101,2,0
16,911035,20170201,8,0
16,911035,20170301,5,0
16,911035,20170401,0,0
16,911035,20170501,6,0
16,911035,20170601,6,0
16,911035,20170701,5,0
16,911035,20170801,0,0
16,911035,20170901,6,0
16,911035,20171001,2,0
21,914236,20170101,0,0
21,914236,20170201,8,0
21,914236,20170301,5,0
21,914236,20170401,1,0
21,914236,20170501,3,0
21,914236,20170601,4,0
21,914236,20170701,2,0
21,914236,20170801,0,0
21,914236,20170901,5,0
21,914236,20171001,1,0
40,11490,20170101,6,0
40,11490,20170201,7,0
40,11490,20170301,7,0
40,11490,20170401,6,0
40,11490,20170501,8,0
40,11490,20170601,5,0
40,11490,20170701,7,0
40,11490,20170801,6,0
40,11490,20170901,7,0
40,910675,20171001,5,0
41,21147,20170101,7,0
41,21147,20170201,6,0
41,21147,20170301,6,0
41,21147,20170401,6,0
41,21147,20170501,5,0
41,21147,20170601,2,0
41,21147,20170701,8,0
41,21147,20170801,6,0
41,21147,20170901,7,0
41,910381,20171001,7,0
42,11422,20170101,8,0
42,11422,20170201,6,0
42,11422,20170301,6,0
42,11422,20170401,7,0
42,11422,20170501,6,0
42,11422,20170601,3,0
42,11422,20170701,6,0
42,11422,20170801,7,0
42,11422,20170901,4,0
42,910224,20171001,3,0
43,2297,20170101,0,0
43,2297,20170201,5,0
43,2297,20170301,7,0
43,2297,20170401,2,0
43,2297,20170501,5,0
43,2297,20170601,2,0
43,2297,20170701,6,0
43,2297,20170801,4,0
43,2297,20170901,8,0
43,910488,20171001,6,0
44,15729,20170101,8,0
44,15729,20170201,7,0
44,15729,20170301,7,0
44,15729,20170401,6,0
44,15729,20170501,7,0
44,15729,20170601,3,0
44,15729,20170701,8,0
44,15729,20170801,6,0
44,15729,20170901,4,0
44,910637,20171001,6,0
45,910468,20170101,-9999,9
45,910468,20170201,-9999,9
45,910468,20170301,-9999,9
45,910468,20170401,-9999,9
45,910468,20170501,-9999,9
45,910468,20170601,-9999,9
45,910468,20170701,-9999,9
45,910468,20170801,-9999,9
45,910468,20170901,-9999,9
45,910468,20171001,-9999,9
46,23235,20170101,-9999,9
46,23235,20170201,-9999,9
46,23235,20170301,-9999,9
46,23235,20170401,-9999,9
46,23235,20170501,-9999,9
46,23235,20170601,-9999,9
46,23235,20170701,-9999,9
46,23235,20170801,-9999,9
46,23235,20170901,-9999,9
46,23235,20171001,-9999,9
47,11413,20170101,8,0
47,11413,20170201,8,0
47,11413,20170301,6,0
47,11413,20170401,6,0
47,11413,20170501,6,0
47,11413,20170601,3,0
47,11413,20170701,7,0
47,11413,20170801,7,0
47,11413,20170901,5,0
47,910147,20171001,4,0
48,11536,20170101,0,0
48,11536,20170201,8,0
48,11536,20170301,7,0
48,11536,20170401,6,0
48,11536,20170501,7,0
48,11536,20170601,7,0
48,11536,20170701,6,0
48,11536,20170801,3,0
48,11536,20170901,8,0
48,910962,20171001,8,0
49,15753,20170101,-9999,9
49,15753,20170201,-9999,9
49,15753,20170301,-9999,9
