"STAID","SOUID","DATE","DD","Q_DD"
1,58002,20170101,-9999,9
1,58002,20170201,-9999,9
1,58002,20170301,-9999,9
1,58002,20170401,-9999,9
1,58002,20170501,-9999,9
1,58002,20170601,-9999,9
1,58002,20170701,-9999,9
1,58002,20170801,-9999,9
1,58002,20170901,-9999,9
1,58002,20171001,-9999,9
2,58006,20170101,-9999,9
2,58006,20170201,-9999,9
2,58006,20170301,-9999,9
2,58006,20170401,-9999,9
2,58006,20170501,-9999,9
2,58006,20170601,-9999,9
2,58006,20170701,-9999,9
2,58006,20170801,-9999,9
2,58006,20170901,-9999,9
2,58006,20171001,-9999,9
3,58010,20170101,-9999,9
3,58010,20170201,-9999,9
3,58010,20170301,-9999,9
3,58010,20170401,-9999,9
3,58010,20170501,-9999,9
3,58010,20170601,-9999,9
3,58010,20170701,-9999,9
3,58010,20170801,-9999,9
3,58010,20170901,-9999,9
3,58010,20171001,-9999,9
4,58019,20170101,270,0
4,58019,20170201,200,0
4,58019,20170301,200,0
4,58019,20170401,250,0
4,58019,20170501,200,0
4,58019,20170601,280,0
4,58019,20170701,30,0
4,58019,20170801,290,0
4,58019,20170901,270,0
4,58019,20171001,110,0
5,58019,20170101,270,0
5,58019,20170201,200,0
5,58019,20170301,200,0
5,58019,20170401,250,0
5,58019,20170501,200,0
5,58019,20170601,280,0
5,58019,20170701,30,0
5,58019,20170801,290,0
5,58019,20170901,270,0
5,58019,20171001,110,0
7,58029,20170101,300,0
7,58029,20170201,220,0
7,58029,20170301,220,0
7,58029,20170401,270,0
7,58029,20170501,160,0
7,58029,20170601,300,0
7,58029,20170701,20,0
7,58029,20170801,180,0
7,58029,20170901,180,0
7,58029,20171001,110,0
9,58299,20170101,340,0
9,58299,20170201,110,0
9,58299,20170301,140,0
9,58299,20170401,330,0
9,58299,20170501,290,0
9,58299,20170601,300,0
9,58299,20170701,120,0
9,58299,20170801,210,0
9,58299,20170901,290,0
9,58299,20171001,140,0
10,58048,20170101,270,0
10,58048,20170201,250,0
10,58048,20170301,180,0
10,58048,20170401,250,0
10,58048,20170501,250,0
10,58048,20170601,320,0
10,58048,20170701,50,0
10,58048,20170801,230,0
10,58048,20170901,270,0
10,58048,20171001,110,0
160,13572,20170101,221,0
160,13572,20170201,145,0
160,13572,20170301,227,0
160,13572,20170401,206,0
160,13572,20170501,114,0
160,13572,20170601,66,0
160,13572,20170701,331,0
160,13572,20170801,221,0
160,13572,20170901,30,0
160,13572,20171001,180,0
161,13572,20170101,221,0
161,13572,20170201,145,0
161,13572,20170301,227,0
161,13572,20170401,206,0
161,13572,20170501,114,0
161,13572,20170601,66,0
161,13572,20170701,331,0
161,13572,20170801,221,0
161,13572,20170901,30,0
161,13572,20171001,180,0
162,13587,20170101,208,0
162,13587,20170201,144,0
162,13587,20170301,228,0
162,13587,20170401,212,0
162,13587,20170501,150,0
162,13587,20170601,15,0
162,13587,20170701,315,0
162,13587,20170801,241,0
162,13587,20170901,67,0
162,13587,20171001,179,0
163,13614,20170101,223,0
163,13614,20170201,140,0
163,13614,20170301,222,0
163,13614,20170401,210,0
