"STAID","SOUID","DATE","FG","Q_FG"
5,58018,20170101,47,0
5,58018,20170201,26,0
5,58018,20170301,61,0
5,58018,20170401,39,0
5,58018,20170501,19,0
5,58018,20170601,52,0
5,58018,20170701,29,0
5,58018,20170801,29,0
5,58018,20170901,27,0
5,58018,20171001,32,0
7,58028,20170101,27,0
7,58028,20170201,15,0
7,58028,20170301,38,0
7,58028,20170401,35,0
7,58028,20170501,17,0
7,58028,20170601,32,0
7,58028,20170701,32,0
7,58028,20170801,28,0
7,58028,20170901,17,0
7,58028,20171001,50,0
40,15699,20170101,11,0
40,15699,20170201,10,0
40,15699,20170301,45,0
40,15699,20170401,16,0
40,15699,20170501,24,0
40,15699,20170601,15,0
40,15699,20170701,35,0
40,15699,20170801,19,0
40,15699,20170901,22,0
40,910675,20171001,12,0
42,15657,20170101,58,0
42,15657,20170201,53,0
42,15657,20170301,45,0
42,15657,20170401,25,0
42,15657,20170501,58,0
42,15657,20170601,29,0
42,15657,20170701,45,0
42,15657,20170801,20,0
42,15657,20170901,18,0
42,910224,20171001,32,0
43,15681,20170101,40,0
43,15681,20170201,29,0
43,15681,20170301,62,0
43,15681,20170401,39,0
43,15681,20170501,74,0
43,15681,20170601,31,0
43,15681,20170701,58,0
43,15681,20170801,37,0
43,15681,20170901,26,0
43,910488,20171001,37,0
44,15733,20170101,28,0
44,15733,20170201,18,0
44,15733,20170301,77,0
44,15733,20170401,26,0
44,15733,20170501,31,0
44,15733,20170601,20,0
44,15733,20170701,53,0
44,15733,20170801,29,0
44,15733,20170901,20,0
44,910637,20171001,25,0
45,15751,20170101,-9999,9
45,15751,20170201,-9999,9
45,15751,20170301,-9999,9
45,15751,20170401,-9999,9
45,15751,20170501,-9999,9
45,15751,20170601,-9999,9
45,15751,20170701,-9999,9
45,15751,20170801,-9999,9
45,15751,20170901,-9999,9
45,15751,20171001,-9999,9
47,15647,20170101,59,0
47,15647,20170201,22,0
47,15647,20170301,50,0
47,15647,20170401,24,0
47,15647,20170501,57,0
47,15647,20170601,39,0
47,15647,20170701,39,0
47,15647,20170801,21,0
47,15647,20170901,22,0
47,910147,20171001,35,0
48,15725,20170101,28,0
48,15725,20170201,24,0
48,15725,20170301,97,0
48,15725,20170401,32,0
48,15725,20170501,57,0
48,15725,20170601,28,0
48,15725,20170701,72,0
48,15725,20170801,41,0
48,15725,20170901,29,0
48,910962,20171001,25,0
49,15757,20170101,-9999,9
49,15757,20170201,-9999,9
49,15757,20170301,-9999,9
49,15757,20170401,-9999,9
49,15757,20170501,-9999,9
49,15757,20170601,-9999,9
49,15757,20170701,-9999,9
49,15757,20170801,-9999,9
49,15757,20170901,-9999,9
49,15757,20171001,-9999,9
50,15763,20170101,-9999,9
50,15763,20170201,-9999,9
50,15763,20170301,-9999,9
50,15763,20170401,-9999,9
50,15763,20170501,-9999,9
50,15763,20170601,-9999,9
50,15763,20170701,-9999,9
50,15763,20170801,-9999,9
50,15763,20170901,-9999,9
50,15763,20171001,-9999,9
51,15707,20170101,18,0
51,15707,20170201,21,0
51,15707,20170301,83,0
51,15707,20170401,32,0
51,15707,20170501,35,0
51,15707,20170601,17,0
51,15707,20170701,60,0
51,15707,20170801,26,0
51,15707,20170901,20,0
51,910731,20171001,20,0
52,15786,20170101,9,0
52,15786,20170201,18,0
52,15786,20170301,57,0
52,15786,20170401,20,0
52,15786,20170501,39,0
52,15786,20170601,18,0
52,15786,20170701,52,0
52,15786,20170801,27,0
52,15786,20170901,19,0
52,910865,20171001,27,0
53,26340,20170101,-9999,9
53,26340,20170201,-9999,9
53,26340,20170301,-9999,9
53,26340,20170401,-9999,9
53,26340,20170501,-9999,9
53,26340,20170601,-9999,9
53,26340,20170701,-9999,9
53,26340,20170801,-9999,9
53,26340,20170901,-9999,9
53,26340,20171001,-9999,9
54,15667,20170101,42,0
54,15667,20170201,24,0
54,15667,20170301,49,0
54,15667,20170401,31,0
54,15667,20170501,63,0
54,15667,20170601,41,0
54,15667,20170701,49,0
54,15667,20170801,37,0
54,15667,20170901,24,0
54,910379,20171001,35,0
58,15723,20170101,88,0
58,15723,20170201,97,0
58,15723,20170301,153,0
58,15723,20170401,65,0
58,15723,20170501,73,0
58,15723,20170601,30,0
58,15723,20170701,52,0
58,15723,20170801,115,0
58,15723,20170901,26,0
58,910961,20171001,40,0
65,904097,20170101,30,0
65,904097,20170201,50,0
65,904097,20170301,65,0
65,904097,20170401,30,0
65,904097,20170501,45,0
65,904097,20170601,37,0
65,904097,20170701,32,0
65,904097,20170801,42,0
65,904097,20170901,30,0
65,904097,20171001,65,0
66,75768,20170101,-9999,9
66,75768,20170201,-9999,9
66,75768,20170301,-9999,9
66,75768,20170401,-9999,9
66,75768,20170501,-9999,9
