"STAID","SOUID","DATE","FX","Q_FX"
40,15700,20170101,39,0
40,15700,20170201,52,0
40,15700,20170301,150,0
40,15700,20170401,57,0
40,15700,20170501,89,0
40,15700,20170601,66,0
40,15700,20170701,120,0
40,15700,20170801,101,0
40,15700,20170901,75,0
40,910675,20171001,58,0
41,15670,20170101,86,0
41,15670,20170201,56,0
41,15670,20170301,116,0
41,15670,20170401,82,0
41,15670,20170501,142,0
41,15670,20170601,119,0
41,15670,20170701,136,0
41,15670,20170801,107,0
41,15670,20170901,68,0
41,910384,20171001,70,0
42,15658,20170101,106,0
42,15658,20170201,117,0
42,15658,20170301,98,0
42,15658,20170401,117,0
42,15658,20170501,130,0
42,15658,20170601,79,0
42,15658,20170701,108,0
42,15658,20170801,57,0
42,15658,20170901,72,0
42,910224,20171001,108,0
43,15682,20170101,74,0
43,15682,20170201,74,0
43,15682,20170301,182,0
43,15682,20170401,87,0
43,15682,20170501,199,0
43,15682,20170601,84,0
43,15682,20170701,213,0
43,15682,20170801,173,0
43,15682,20170901,62,0
43,910488,20171001,123,0
44,15734,20170101,94,0
44,15734,20170201,62,0
44,15734,20170301,182,0
44,15734,20170401,87,0
44,15734,20170501,115,0
44,15734,20170601,81,0
44,15734,20170701,151,0
44,15734,20170801,219,0
44,15734,20170901,82,0
44,910637,20171001,90,0
45,15752,20170101,-9999,9
45,15752,20170201,-9999,9
45,15752,20170301,-9999,9
45,15752,20170401,-9999,9
45,15752,20170501,-9999,9
45,15752,20170601,-9999,9
45,15752,20170701,-9999,9
45,15752,20170801,-9999,9
45,15752,20170901,-9999,9
45,15752,20171001,-9999,9
47,15648,20170101,114,0
47,15648,20170201,94,0
47,15648,20170301,113,0
47,15648,20170401,136,0
47,15648,20170501,139,0
47,15648,20170601,108,0
47,15648,20170701,97,0
47,15648,20170801,72,0
47,15648,20170901,59,0
47,910147,20171001,98,0
48,15726,20170101,105,0
48,15726,20170201,66,0
48,15726,20170301,238,0
48,15726,20170401,87,0
48,15726,20170501,134,0
48,15726,20170601,81,0
48,15726,20170701,161,0
48,15726,20170801,166,0
48,15726,20170901,85,0
48,910962,20171001,112,0
49,15758,20170101,-9999,9
49,15758,20170201,-9999,9
49,15758,20170301,-9999,9
49,15758,20170401,-9999,9
49,15758,20170501,-9999,9
49,15758,20170601,-9999,9
49,15758,20170701,-9999,9
49,15758,20170801,-9999,9
49,15758,20170901,-9999,9
49,15758,20171001,-9999,9
50,15764,20170101,-9999,9
50,15764,20170201,-9999,9
50,15764,20170301,-9999,9
50,15764,20170401,-9999,9
50,15764,20170501,-9999,9
50,15764,20170601,-9999,9
50,15764,20170701,-9999,9
50,15764,20170801,-9999,9
50,15764,20170901,-9999,9
50,15764,20171001,-9999,9
51,15708,20170101,42,0
51,15708,20170201,51,0
51,15708,20170301,167,0
51,15708,20170401,107,0
51,15708,20170501,129,0
51,15708,20170601,64,0
51,15708,20170701,147,0
51,15708,20170801,105,0
51,15708,20170901,81,0
51,910731,20171001,77,0
52,15787,20170101,28,0
52,15787,20170201,53,0
52,15787,20170301,168,0
52,15787,20170401,59,0
52,15787,20170501,114,0
52,15787,20170601,62,0
52,15787,20170701,143,0
52,15787,20170801,142,0
52,15787,20170901,52,0
52,910865,20171001,120,0
53,26341,20170101,-9999,9
53,26341,20170201,-9999,9
53,26341,20170301,-9999,9
53,26341,20170401,-9999,9
53,26341,20170501,-9999,9
53,26341,20170601,-9999,9
53,26341,20170701,-9999,9
53,26341,20170801,-9999,9
53,26341,20170901,-9999,9
53,26341,20171001,-9999,9
54,15668,20170101,92,0
54,15668,20170201,68,0
54,15668,20170301,140,0
54,15668,20170401,80,0
54,15668,20170501,170,0
54,15668,20170601,98,0
54,15668,20170701,145,0
54,15668,20170801,122,0
54,15668,20170901,66,0
54,910379,20171001,88,0
58,15724,20170101,162,0
58,15724,20170201,220,0
58,15724,20170301,347,0
58,15724,20170401,140,0
58,15724,20170501,219,0
58,15724,20170601,88,0
58,15724,20170701,162,0
58,15724,20170801,261,0
58,15724,20170901,99,0
58,910961,20171001,92,0
65,75762,20170101,-9999,9
65,75762,20170201,-9999,9
65,75762,20170301,-9999,9
65,75762,20170401,-9999,9
65,75762,20170501,-9999,9
65,75762,20170601,-9999,9
65,75762,20170701,-9999,9
65,75762,20170801,-9999,9
65,75762,20170901,-9999,9
65,75762,20171001,-9999,9
66,75769,20170101,-9999,9
66,75769,20170201,-9999,9
66,75769,20170301,-9999,9
66,75769,20170401,-9999,9
66,75769,20170501,-9999,9
66,75769,20170601,-9999,9
66,75769,20170701,-9999,9
66,75769,20170801,-9999,9
66,75769,20170901,-9999,9
66,75769,20171001,-9999,9
67,75776,20170101,-9999,9
67,75776,20170201,-9999,9
67,75776,20170301,-9999,9
67,75776,20170401,-9999,9
67,75776,20170501,-9999,9
67,75776,20170601,-9999,9
67,75776,20170701,-9999,9
67,75776,20170801,-9999,9
67,75776,20170901,-9999,9
67,75776,20171001,-9999,9
68,75783,20170101,-9999,9
68,75783,20170201,-9999,9
68,75783,20170301,-9999,9
68,75783,20170401,-9999,9
68,75783,20170501,-9999,9
68,75783,20170601,-9999,9
68,75783,20170701,-9999,9
68,75783,20170801,-9999,9
68,75783,20170901,-9999,9
68,75783,20171001,-9999,9
160,13570,20170101,140,0
160,13570,20170201,120,0
160,13570,20170301,120,0
160,13570,20170401,100,0
160,13570,20170501,130,0
160,13570,20170601,70,0
160,13570,20170701,110,0
160,13570,20170801,90,0
160,13570,20170901,60,0
160,13570,20171001,160,0
161,13570,20170101,140,0
161,13570,20170201,120,0
161,13570,20170301,120,0
161,13570,20170401,100,0
161,13570,20170501,130,0
