"STAID","SOUID","DATE","HU","Q_HU"
5,58017,20170101,92,0
5,58017,20170201,93,0
5,58017,20170301,94,0
5,58017,20170401,91,0
5,58017,20170501,57,0
5,58017,20170601,52,0
5,58017,20170701,82,0
5,58017,20170801,68,0
5,58017,20170901,80,0
5,58017,20171001,83,0
7,58027,20170101,75,0
7,58027,20170201,93,0
7,58027,20170301,99,0
7,58027,20170401,88,0
7,58027,20170501,58,0
7,58027,20170601,42,0
7,58027,20170701,48,0
7,58027,20170801,70,0
7,58027,20170901,88,0
7,58027,20171001,77,0
11,32859,20170101,-9999,9
11,32859,20170201,-9999,9
11,32859,20170301,-9999,9
11,32859,20170401,-9999,9
11,32859,20170501,-9999,9
11,32859,20170601,-9999,9
11,32859,20170701,-9999,9
11,32859,20170801,-9999,9
11,32859,20170901,-9999,9
11,32859,20171001,-9999,9
12,32857,20170101,-9999,9
12,32857,20170201,-9999,9
12,32857,20170301,-9999,9
12,32857,20170401,-9999,9
12,32857,20170501,-9999,9
12,32857,20170601,-9999,9
12,32857,20170701,-9999,9
12,32857,20170801,-9999,9
12,32857,20170901,-9999,9
12,32857,20171001,-9999,9
13,32858,20170101,-9999,9
13,32858,20170201,-9999,9
13,32858,20170301,-9999,9
13,32858,20170401,-9999,9
13,32858,20170501,-9999,9
13,32858,20170601,-9999,9
13,32858,20170701,-9999,9
13,32858,20170801,-9999,9
13,32858,20170901,-9999,9
13,32858,20171001,-9999,9
14,32279,20170101,89,0
14,32279,20170201,99,0
14,32279,20170301,69,0
14,32279,20170401,67,0
14,32279,20170501,78,0
14,32279,20170601,82,0
14,32279,20170701,74,0
14,32279,20170801,69,0
14,32279,20170901,95,0
14,32860,20171001,-9999,9
15,2155,20170101,-9999,9
15,2155,20170201,-9999,9
15,2155,20170301,-9999,9
15,2155,20170401,-9999,9
15,2155,20170501,-9999,9
15,2155,20170601,-9999,9
15,2155,20170701,-9999,9
15,2155,20170801,-9999,9
15,2155,20170901,-9999,9
15,2155,20171001,-9999,9
16,2163,20170101,-9999,9
16,2163,20170201,-9999,9
16,2163,20170301,-9999,9
16,2163,20170401,-9999,9
16,2163,20170501,-9999,9
16,2163,20170601,-9999,9
16,2163,20170701,-9999,9
16,2163,20170801,-9999,9
16,2163,20170901,-9999,9
16,2163,20171001,-9999,9
21,5221,20170101,-9999,9
21,5221,20170201,-9999,9
21,5221,20170301,-9999,9
21,5221,20170401,-9999,9
21,5221,20170501,-9999,9
21,5221,20170601,-9999,9
21,5221,20170701,-9999,9
21,5221,20170801,-9999,9
21,5221,20170901,-9999,9
21,5221,20171001,-9999,9
22,15571,20170101,-9999,9
22,15571,20170201,-9999,9
22,15571,20170301,-9999,9
22,15571,20170401,-9999,9
22,15571,20170501,-9999,9
22,15571,20170601,-9999,9
22,15571,20170701,-9999,9
22,15571,20170801,-9999,9
22,15571,20170901,-9999,9
22,15571,20171001,-9999,9
23,1844,20170101,-9999,9
23,1844,20170201,-9999,9
