"STAID","SOUID","DATE","RR","Q_RR"
1,37886,20170101,-9999,9
1,37886,20170201,-9999,9
1,37886,20170301,-9999,9
1,37886,20170401,-9999,9
1,37886,20170501,-9999,9
1,37886,20170601,-9999,9
1,37886,20170701,-9999,9
1,37886,20170801,-9999,9
1,37886,20170901,-9999,9
1,37886,20171001,-9999,9
2,39422,20170101,-9999,9
2,39422,20170201,-9999,9
2,39422,20170301,-9999,9
2,39422,20170401,-9999,9
2,39422,20170501,-9999,9
2,39422,20170601,-9999,9
2,39422,20170701,-9999,9
2,39422,20170801,-9999,9
2,39422,20170901,-9999,9
2,39422,20171001,-9999,9
3,40456,20170101,-9999,9
3,40456,20170201,-9999,9
3,40456,20170301,-9999,9
3,40456,20170401,-9999,9
3,40456,20170501,-9999,9
3,40456,20170601,-9999,9
3,40456,20170701,-9999,9
3,40456,20170801,-9999,9
3,40456,20170901,-9999,9
3,40456,20171001,-9999,9
4,902562,20170101,0,0
4,902562,20170201,0,0
4,902562,20170301,5,0
4,902562,20170401,1,0
4,902562,20170501,0,0
4,902562,20170601,0,0
4,902562,20170701,0,0
4,902562,20170801,0,0
4,902562,20170901,0,0
4,902562,20171001,0,0
5,902562,20170101,0,0
5,902562,20170201,0,0
5,902562,20170301,5,0
5,902562,20170401,1,0
5,902562,20170501,0,0
5,902562,20170601,0,0
5,902562,20170701,0,0
5,902562,20170801,0,0
5,902562,20170901,0,0
5,902562,20171001,0,0
6,38924,20170101,-9999,9
6,38924,20170201,-9999,9
6,38924,20170301,-9999,9
6,38924,20170401,-9999,9
6,38924,20170501,-9999,9
6,38924,20170601,-9999,9
6,38924,20170701,-9999,9
6,38924,20170801,-9999,9
6,38924,20170901,-9999,9
6,38924,20171001,-9999,9
7,23,20170101,-9999,9
7,23,20170201,-9999,9
7,23,20170301,-9999,9
7,23,20170401,-9999,9
7,23,20170501,-9999,9
7,23,20170601,-9999,9
7,23,20170701,-9999,9
7,23,20170801,-9999,9
7,23,20170901,-9999,9
7,23,20171001,-9999,9
8,39980,20170101,-9999,9
8,39980,20170201,-9999,9
8,39980,20170301,-9999,9
8,39980,20170401,-9999,9
8,39980,20170501,-9999,9
8,39980,20170601,-9999,9
8,39980,20170701,-9999,9
8,39980,20170801,-9999,9
8,39980,20170901,-9999,9
8,39980,20171001,-9999,9
9,29,20170101,-9999,9
9,29,20170201,-9999,9
9,29,20170301,-9999,9
9,29,20170401,-9999,9
9,29,20170501,-9999,9
9,29,20170601,-9999,9
9,29,20170701,-9999,9
9,29,20170801,-9999,9
9,29,20170901,-9999,9
9,29,20171001,-9999,9
10,902485,20170101,4,0
10,902485,20170201,0,0
10,902485,20170301,4,0
10,902485,20170401,4,0
10,902485,20170501,0,0
10,902485,20170601,4,0
10,902485,20170701,0,0
10,902485,20170801,0,0
10,902485,20170901,1,0
10,902485,20171001,0,0
11,911012,20170101,0,0
11,911012,20170201,8,0
11,911012,20170301,70,0
11,911012,20170401,0,0
11,911012,20170501,90,0
11,911012,20170601,0,0
11,911012,20170701,9,0
11,911012,20170801,0,0
11,911012,20170901,140,0
11,911012,20171001,5,0
12,911290,20170101,0,0
12,911290,20170201,0,0
12,911290,20170301,0,0
12,911290,20170401,0,0
12,911290,20170501,5,0
12,911290,20170601,3,0
12,911290,20170701,230,0
12,911290,20170801,0,0
12,911290,20170901,210,0
12,911290,20171001,0,0
13,911120,20170101,0,0
13,911120,20170201,30,0
13,911120,20170301,1,0
13,911120,20170401,0,0
13,911120,20170501,120,0
13,911120,20170601,60,0
13,911120,20170701,32,0
13,911120,20170801,0,0
13,911120,20170901,620,0
13,911120,20171001,120,0
14,32274,20170101,0,0
14,32274,20170201,18,0
14,32274,20170301,81,0
14,32274,20170401,0,0
14,32274,20170501,70,0
14,32274,20170601,0,0
14,32274,20170701,3,0
14,32274,20170801,6,0
14,32274,20170901,277,0
14,911150,20171001,9,0
15,911146,20170101,0,0
15,911146,20170201,14,0
15,911146,20170301,30,0
15,911146,20170401,0,0
15,911146,20170501,170,0
15,911146,20170601,130,0
15,911146,20170701,110,0
15,911146,20170801,0,0
15,911146,20170901,200,0
15,911146,20171001,20,0
16,911035,20170101,3,0
16,911035,20170201,22,0
16,911035,20170301,5,0
16,911035,20170401,0,0
16,911035,20170501,40,0
16,911035,20170601,0,0
16,911035,20170701,3,0
16,911035,20170801,0,0
16,911035,20170901,60,0
16,911035,20171001,0,0
17,906447,20170101,40,0
17,906447,20170201,0,0
17,906447,20170301,30,0
17,906447,20170401,10,0
17,906447,20170501,0,0
17,906447,20170601,0,0
17,906447,20170701,-9999,9
17,906447,20170801,0,0
17,906447,20170901,20,0
17,906447,20171001,0,0
21,914236,20170101,-9999,9
21,914236,20170201,3,0
21,914236,20170301,20,0
21,914236,20170401,0,0
21,914236,20170501,0,0
21,914236,20170601,102,0
21,914236,20170701,0,0
21,914236,20170801,0,0
21,914236,20170901,280,0
21,914236,20171001,0,0
22,65,20170101,-9999,9
22,65,20170201,-9999,9
22,65,20170301,-9999,9
22,65,20170401,-9999,9
22,65,20170501,-9999,9
22,65,20170601,-9999,9
22,65,20170701,-9999,9
22,65,20170801,-9999,9
22,65,20170901,-9999,9
22,65,20171001,-9999,9
23,917609,20170101,120,0
23,917609,20170201,0,0
23,917609,20170301,0,0
23,917609,20170401,0,0
23,917609,20170501,0,0
23,917609,20170601,0,0
23,917609,20170701,0,0
23,917609,20170801,0,0
23,917609,20170901,0,0
23,917609,20171001,0,0
24,917601,20170101,370,0
24,917601,20170201,0,0
24,917601,20170301,0,0
24,917601,20170401,0,0
24,917601,20170501,0,0
24,917601,20170601,0,0
24,917601,20170701,0,0
24,917601,20170801,0,0
24,917601,20170901,0,0
24,917601,20171001,0,0
25,74,20170101,-9999,9
25,74,20170201,-9999,9
25,74,20170301,-9999,9
25,74,20170401,-9999,9
25,74,20170501,-9999,9
25,74,20170601,-9999,9
25,74,20170701,-9999,9
25,74,20170801,-9999,9
25,74,20170901,-9999,9
25,74,20171001,-9999,9
26,78,20170101,-9999,9
26,78,20170201,-9999,9
26,78,20170301,-9999,9
26,78,20170401,-9999,9
26,78,20170501,-9999,9
26,78,20170601,-9999,9
26,78,20170701,-9999,9
26,78,20170801,-9999,9
26,78,20170901,-9999,9
26,78,20171001,-9999,9
27,82,20170101,-9999,9
27,82,20170201,-9999,9
27,82,20170301,-9999,9
27,82,20170401,-9999,9
27,82,20170501,-9999,9
27,82,20170601,-9999,9
27,82,20170701,-9999,9
27,82,20170801,-9999,9
27,82,20170901,-9999,9
27,82,20171001,-9999,9
28,86,20170101,0,0
28,86,20170201,15,0
28,86,20170301,67,0
28,86,20170401,34,0
28,86,20170501,0,0
28,86,20170601,25,0
28,86,20170701,4,0
28,86,20170801,130,0
28,86,20170901,0,0
28,86,20171001,0,0
29,90,20170101,0,0
29,90,20170201,1,0
29,90,20170301,38,0
29,90,20170401,42,0
29,90,20170501,0,0
29,90,20170601,3,0
29,90,20170701,0,0
29,90,20170801,0,0
29,90,20170901,0,0
29,90,20171001,3,0
30,94,20170101,0,0
30,94,20170201,0,0
30,94,20170301,37,0
30,94,20170401,0,0
30,94,20170501,3,0
30,94,20170601,14,0
30,94,20170701,0,0
30,94,20170801,2,0
30,94,20170901,10,0
30,94,20171001,5,0
31,4894,20170101,-9999,9
31,4894,20170201,-9999,9
31,4894,20170301,-9999,9
31,4894,20170401,-9999,9
31,4894,20170501,-9999,9
31,4894,20170601,-9999,9
31,4894,20170701,-9999,9
31,4894,20170801,-9999,9
31,4894,20170901,-9999,9
31,4894,20171001,-9999,9
32,907255,20170101,0,0
32,907255,20170201,0,0
32,907255,20170301,70,0
32,907255,20170401,0,0
32,907255,20170501,110,0
32,907255,20170601,0,0
32,907255,20170701,42,0
32,907255,20170801,30,0
32,907255,20170901,230,0
32,907255,20171001,28,0
33,907630,20170101,0,0
33,907630,20170201,0,0
33,907630,20170301,0,0
33,907630,20170401,40,0
33,907630,20170501,24,0
33,907630,20170601,0,0
33,907630,20170701,54,0
33,907630,20170801,0,0
33,907630,20170901,30,0
33,907630,20171001,64,0
34,907510,20170101,0,0
34,907510,20170201,4,0
34,907510,20170301,40,0
34,907510,20170401,80,0
34,907510,20170501,40,0
34,907510,20170601,0,0
34,907510,20170701,4,0
34,907510,20170801,0,0
34,907510,20170901,40,0
34,907510,20171001,30,0
36,907747,20170101,0,0
36,907747,20170201,0,0
36,907747,20170301,0,0
36,907747,20170401,8,0
36,907747,20170501,0,0
36,907747,20170601,0,0
36,907747,20170701,0,0
36,907747,20170801,2,0
36,907747,20170901,0,0
36,907747,20171001,20,0
37,907481,20170101,0,0
37,907481,20170201,0,0
37,907481,20170301,24,0
37,907481,20170401,50,0
37,907481,20170501,22,0
37,907481,20170601,2,0
37,907481,20170701,20,0
37,907481,20170801,0,0
37,907481,20170901,2,0
37,907481,20171001,10,0
39,907650,20170101,0,0
39,907650,20170201,-9999,9
39,907650,20170301,0,0
39,907650,20170401,150,0
39,907650,20170501,0,0
39,907650,20170601,0,0
39,907650,20170701,0,0
39,907650,20170801,0,0
39,907650,20170901,0,0
39,907650,20171001,0,0
40,130,20170101,0,0
40,130,20170201,12,0
40,130,20170301,6,0
40,130,20170401,0,0
40,130,20170501,168,0
40,130,20170601,0,0
40,130,20170701,14,0
40,130,20170801,27,0
40,130,20170901,0,0
40,910675,20171001,0,0
41,11445,20170101,7,0
41,11445,20170201,0,0
41,11445,20170301,15,0
41,11445,20170401,0,0
41,11445,20170501,0,0
41,11445,20170601,0,0
41,11445,20170701,67,0
41,11445,20170801,16,0
41,11445,20170901,0,0
41,910381,20171001,20,0
42,140,20170101,19,0
42,140,20170201,6,0
42,140,20170301,24,0
42,140,20170401,0,0
42,140,20170501,0,0
42,140,20170601,0,0
42,140,20170701,10,0
42,140,20170801,2,0
42,140,20170901,0,0
42,910224,20171001,50,0
43,2300,20170101,2,0
43,2300,20170201,0,0
43,2300,20170301,30,0
43,2300,20170401,0,0
43,2300,20170501,3,0
43,2300,20170601,0,0
43,2300,20170701,123,0
43,2300,20170801,95,0
43,2300,20170901,103,0
43,910488,20171001,6,0
44,150,20170101,0,0
44,150,20170201,2,0
44,150,20170301,27,0
44,150,20170401,0,0
44,150,20170501,91,0
44,150,20170601,0,0
44,150,20170701,73,0
44,150,20170801,2,0
44,150,20170901,1,0
44,910637,20171001,1,0
45,155,20170101,-9999,9
45,155,20170201,-9999,9
45,155,20170301,-9999,9
45,155,20170401,-9999,9
45,155,20170501,-9999,9
45,155,20170601,-9999,9
45,155,20170701,-9999,9
45,155,20170801,-9999,9
45,155,20170901,-9999,9
45,155,20171001,-9999,9
46,160,20170101,-9999,9
46,160,20170201,-9999,9
46,160,20170301,-9999,9
46,160,20170401,-9999,9
46,160,20170501,-9999,9
46,160,20170601,-9999,9
46,160,20170701,-9999,9
46,160,20170801,-9999,9
46,160,20170901,-9999,9
46,160,20171001,-9999,9
47,164,20170101,16,0
47,164,20170201,0,0
47,164,20170301,60,0
47,164,20170401,0,0
47,164,20170501,0,0
47,164,20170601,0,0
47,164,20170701,21,0
47,164,20170801,13,0
47,164,20170901,2,0
47,910147,20171001,50,0
48,169,20170101,0,0
48,169,20170201,13,0
48,169,20170301,32,0
48,169,20170401,0,0
48,169,20170501,136,0
48,169,20170601,11,0
48,169,20170701,3,0
48,169,20170801,343,0
48,169,20170901,316,0
48,910962,20171001,20,0
49,174,20170101,2,0
49,174,20170201,0,0
49,174,20170301,21,0
49,174,20170401,41,0
49,174,20170501,25,0
49,174,20170601,0,0
49,174,20170701,21,0
49,174,20170801,1,0
49,174,20170901,0,0
49,174,20171001,-9999,9
50,179,20170101,0,0
50,179,20170201,2,0
50,179,20170301,80,0
50,179,20170401,0,0
50,179,20170501,23,0
50,179,20170601,0,0
50,179,20170701,25,0
50,179,20170801,12,0
50,179,20170901,0,0
50,179,20171001,-9999,9
51,11503,20170101,0,0
51,11503,20170201,3,0
51,11503,20170301,155,0
51,11503,20170401,6,0
51,11503,20170501,23,0
51,11503,20170601,0,0
51,11503,20170701,39,0
51,11503,20170801,20,0
51,11503,20170901,14,0
51,910731,20171001,0,0
52,189,20170101,0,0
52,189,20170201,0,0
52,189,20170301,39,0
52,189,20170401,0,0
52,189,20170501,178,0
52,189,20170601,0,0
52,189,20170701,10,0
52,189,20170801,167,0
52,189,20170901,130,0
52,910865,20171001,20,0
53,194,20170101,-9999,9
53,194,20170201,-9999,9
53,194,20170301,-9999,9
53,194,20170401,-9999,9
53,194,20170501,-9999,9
53,194,20170601,-9999,9
53,194,20170701,-9999,9
53,194,20170801,-9999,9
53,194,20170901,-9999,9
53,194,20171001,-9999,9
54,199,20170101,11,0
54,199,20170201,0,0
54,199,20170301,33,0
54,199,20170401,0,0
54,199,20170501,0,0
54,199,20170601,0,0
54,199,20170701,71,0
54,199,20170801,12,0
54,199,20170901,0,0
54,910379,20171001,30,0
55,204,20170101,11,0
55,204,20170201,0,0
55,204,20170301,37,0
55,204,20170401,72,0
55,204,20170501,0,0
55,204,20170601,0,0
55,204,20170701,47,0
55,204,20170801,125,0
55,204,20170901,0,0
55,910162,20171001,6,0
56,209,20170101,-9999,9
56,209,20170201,-9999,9
56,209,20170301,-9999,9
56,209,20170401,-9999,9
56,209,20170501,-9999,9
56,209,20170601,-9999,9
56,209,20170701,-9999,9
56,209,20170801,-9999,9
56,209,20170901,-9999,9
56,209,20171001,-9999,9
57,29430,20170101,1,0
57,29430,20170201,3,0
57,29430,20170301,30,0
57,29430,20170401,0,0
57,29430,20170501,0,0
57,29430,20170601,0,0
57,29430,20170701,56,0
57,29430,20170801,73,0
57,29430,20170901,0,0
57,214,20171001,-9999,9
58,219,20170101,0,0
58,219,20170201,26,0
58,219,20170301,58,0
58,219,20170401,0,0
58,219,20170501,268,0
58,219,20170601,163,0
58,219,20170701,30,0
58,219,20170801,1,0
58,219,20170901,435,0
58,910961,20171001,30,0
59,224,20170101,-9999,9
59,224,20170201,-9999,9
59,224,20170301,-9999,9
59,224,20170401,-9999,9
59,224,20170501,-9999,9
59,224,20170601,-9999,9
59,224,20170701,-9999,9
59,224,20170801,-9999,9
59,224,20170901,-9999,9
59,224,20171001,-9999,9
60,229,20170101,-9999,9
60,229,20170201,-9999,9
60,229,20170301,-9999,9
60,229,20170401,-9999,9
60,229,20170501,-9999,9
60,229,20170601,-9999,9
60,229,20170701,-9999,9
60,229,20170801,-9999,9
60,229,20170901,-9999,9
60,229,20171001,-9999,9
61,916754,20170101,34,0
61,916754,20170201,0,0
61,916754,20170301,0,0
61,916754,20170401,0,0
61,916754,20170501,0,0
61,916754,20170601,0,0
61,916754,20170701,0,0
61,916754,20170801,0,0
61,916754,20170901,0,0
61,916754,20171001,0,0
62,239,20170101,-9999,9
62,239,20170201,-9999,9
62,239,20170301,-9999,9
62,239,20170401,-9999,9
62,239,20170501,-9999,9
62,239,20170601,-9999,9
62,239,20170701,-9999,9
62,239,20170801,-9999,9
62,239,20170901,-9999,9
62,239,20171001,-9999,9
63,916734,20170101,-9999,9
63,916734,20170201,-9999,9
63,916734,20170301,0,0
63,916734,20170401,-9999,9
63,916734,20170501,-9999,9
63,916734,20170601,0,0
63,916734,20170701,-9999,9
63,916734,20170801,-9999,9
63,916734,20170901,-9999,9
63,916734,20171001,0,0
64,247,20170101,-9999,9
64,247,20170201,-9999,9
64,247,20170301,-9999,9
64,247,20170401,-9999,9
64,247,20170501,-9999,9
64,247,20170601,-9999,9
64,247,20170701,-9999,9
64,247,20170801,-9999,9
64,247,20170901,-9999,9
64,247,20171001,-9999,9
65,904197,20170101,0,0
65,904197,20170201,-9999,9
65,904197,20170301,-9999,9
65,904197,20170401,-9999,9
65,904197,20170501,-9999,9
65,904197,20170601,-9999,9
65,904197,20170701,0,0
65,904197,20170801,0,0
65,904197,20170901,0,0
65,904197,20171001,0,0
66,255,20170101,-9999,9
66,255,20170201,-9999,9
66,255,20170301,-9999,9
66,255,20170401,-9999,9
66,255,20170501,-9999,9
66,255,20170601,-9999,9
66,255,20170701,-9999,9
66,255,20170801,-9999,9
66,255,20170901,-9999,9
66,255,20171001,-9999,9
67,259,20170101,-9999,9
67,259,20170201,-9999,9
67,259,20170301,-9999,9
67,259,20170401,-9999,9
67,259,20170501,-9999,9
67,259,20170601,-9999,9
67,259,20170701,-9999,9
67,259,20170801,-9999,9
67,259,20170901,-9999,9
67,259,20171001,-9999,9
68,263,20170101,-9999,9
68,263,20170201,-9999,9
68,263,20170301,-9999,9
68,263,20170401,-9999,9
68,263,20170501,-9999,9
68,263,20170601,-9999,9
68,263,20170701,-9999,9
68,263,20170801,-9999,9
68,263,20170901,-9999,9
68,263,20171001,-9999,9
69,267,20170101,-9999,9
69,267,20170201,-9999,9
69,267,20170301,-9999,9
69,267,20170401,-9999,9
69,267,20170501,-9999,9
69,267,20170601,-9999,9
69,267,20170701,-9999,9
69,267,20170801,-9999,9
69,267,20170901,-9999,9
69,267,20171001,-9999,9
70,271,20170101,-9999,9
70,271,20170201,-9999,9
70,271,20170301,-9999,9
70,271,20170401,-9999,9
70,271,20170501,-9999,9
70,271,20170601,-9999,9
