"STAID","SOUID","DATE","SD","Q_SD"
1,37885,20170101,0,0
1,37885,20170201,0,0
1,37885,20170301,0,0
1,37885,20170401,0,0
1,37885,20170501,0,0
1,37885,20170601,0,0
1,37885,20170701,0,0
1,37885,20170801,0,0
1,37885,20170901,0,0
1,37885,20171001,0,0
2,39421,20170101,-9999,9
2,39421,20170201,7,0
2,39421,20170301,9,0
2,39421,20170401,0,0
2,39421,20170501,0,0
2,39421,20170601,0,0
2,39421,20170701,0,0
2,39421,20170801,0,0
2,39421,20170901,0,0
2,39421,20171001,0,0
3,40455,20170101,-9999,9
3,40455,20170201,-9999,9
3,40455,20170301,-9999,9
3,40455,20170401,-9999,9
3,40455,20170501,-9999,9
3,40455,20170601,-9999,9
3,40455,20170701,-9999,9
3,40455,20170801,-9999,9
3,40455,20170901,-9999,9
3,40455,20171001,-9999,9
4,38499,20170101,0,0
4,38499,20170201,0,0
4,38499,20170301,0,0
4,38499,20170401,0,0
4,38499,20170501,0,0
4,38499,20170601,0,0
4,38499,20170701,0,0
4,38499,20170801,0,0
4,38499,20170901,0,0
4,38499,20171001,0,0
5,38499,20170101,0,0
5,15887,20170201,0,0
5,15887,20170301,0,0
5,38499,20170401,0,0
5,38499,20170501,0,0
5,15887,20170601,0,0
5,38499,20170701,0,0
5,15887,20170801,0,0
5,15887,20170901,0,0
5,38499,20171001,0,0
6,38923,20170101,-9999,9
6,38923,20170201,-9999,9
6,38923,20170301,-9999,9
6,38923,20170401,-9999,9
6,38923,20170501,-9999,9
6,38923,20170601,-9999,9
6,38923,20170701,-9999,9
6,38923,20170801,-9999,9
6,38923,20170901,-9999,9
6,38923,20171001,-9999,9
7,38897,20170101,-9999,9
7,38897,20170201,-9999,9
7,38897,20170301,-9999,9
7,38897,20170401,-9999,9
7,38897,20170501,-9999,9
7,38897,20170601,-9999,9
7,38897,20170701,-9999,9
7,38897,20170801,-9999,9
7,38897,20170901,-9999,9
7,38897,20171001,-9999,9
8,39979,20170101,-9999,9
8,39979,20170201,-9999,9
8,39979,20170301,-9999,9
8,39979,20170401,-9999,9
8,39979,20170501,-9999,9
8,39979,20170601,-9999,9
8,39979,20170701,-9999,9
8,39979,20170801,-9999,9
8,39979,20170901,-9999,9
8,39979,20171001,-9999,9
9,58038,20170101,-9999,9
9,58038,20170201,-9999,9
9,58038,20170301,-9999,9
9,58038,20170401,-9999,9
9,58038,20170501,-9999,9
9,58038,20170601,-9999,9
9,58038,20170701,-9999,9
9,58038,20170801,-9999,9
9,58038,20170901,-9999,9
9,58038,20171001,-9999,9
10,38883,20170101,-9999,9
10,38883,20170201,-9999,9
10,38883,20170301,-9999,9
10,38883,20170401,-9999,9
10,38883,20170501,-9999,9
10,38883,20170601,-9999,9
10,38883,20170701,-9999,9
10,38883,20170801,-9999,9
10,38883,20170901,-9999,9
10,38883,20171001,-9999,9
11,911012,20170101,-9999,9
11,911012,20170201,-9999,9
11,911012,20170301,-9999,9
11,911012,20170401,-9999,9
11,32851,20170501,-9999,9
11,32851,20170601,-9999,9
11,32851,20170701,-9999,9
11,32851,20170801,-9999,9
11,32851,20170901,-9999,9
11,32851,20171001,-9999,9
12,911240,20170101,-9999,9
12,911240,20170201,-9999,9
12,32849,20170301,-9999,9
12,32849,20170401,-9999,9
12,32849,20170501,-9999,9
12,32849,20170601,-9999,9
12,32849,20170701,-9999,9
12,32849,20170801,-9999,9
12,32849,20170901,-9999,9
12,32849,20171001,-9999,9
14,32275,20170101,0,0
14,32275,20170201,17,0
14,32275,20170301,0,0
14,32275,20170401,0,0
14,32852,20170501,-9999,9
14,32852,20170601,-9999,9
14,32852,20170701,-9999,9
14,32852,20170801,-9999,9
14,32852,20170901,-9999,9
14,32852,20171001,-9999,9
15,911146,20170101,134,0
15,911146,20170201,192,0
15,911146,20170301,225,0
15,911146,20170401,237,0
15,911146,20170501,362,0
15,911146,20170601,335,0
15,911146,20170701,-9999,9
15,911146,20170801,101,0
15,911146,20170901,-2,1
15,911146,20171001,52,0
16,911035,20170101,-9999,9
16,911035,20170201,14,0
16,2164,20170301,-9999,9
16,2164,20170401,-9999,9
16,2164,20170501,-9999,9
16,2164,20170601,-9999,9
16,2164,20170701,-9999,9
16,2164,20170801,-9999,9
16,2164,20170901,-9999,9
16,2164,20171001,-9999,9
21,914236,20170101,0,0
21,914236,20170201,2,0
21,914236,20170301,0,0
21,914236,20170401,0,0
21,914236,20170501,0,0
21,914236,20170601,0,0
21,914236,20170701,0,0
21,914236,20170801,0,0
21,914236,20170901,0,0
21,914236,20171001,0,0
40,11492,20170101,0,0
40,910675,20170201,-9999,9
40,910675,20170301,-9999,9
40,910675,20170401,-9999,9
40,910675,20170501,-9999,9
40,910675,20170601,-9999,9
40,910675,20170701,-9999,9
40,910675,20170801,-9999,9
40,910675,20170901,-9999,9
40,910675,20171001,-9999,9
41,21151,20170101,0,0
41,21151,20170201,0,0
41,21151,20170301,0,0
41,21151,20170401,0,0
41,21151,20170501,0,0
41,21151,20170601,0,0
41,21151,20170701,0,0
41,21151,20170801,0,0
41,21151,20170901,0,0
41,910381,20171001,0,0
42,11424,20170101,0,0
42,11424,20170201,0,0
42,11424,20170301,0,0
42,11424,20170401,0,0
42,11424,20170501,0,0
42,11424,20170601,0,0
42,11424,20170701,0,0
42,11424,20170801,0,0
42,11424,20170901,0,0
42,910224,20171001,0,0
43,11464,20170101,0,0
43,11464,20170201,18,0
43,11464,20170301,0,0
43,11464,20170401,0,0
43,11464,20170501,0,0
43,11464,20170601,0,0
43,11464,20170701,0,0
43,11464,20170801,0,0
43,11464,20170901,0,0
43,910488,20171001,0,0
44,15731,20170101,0,0
44,15731,20170201,0,0
44,15731,20170301,0,0
44,15731,20170401,0,0
44,15731,20170501,0,0
44,15731,20170601,0,0
44,15731,20170701,0,0
44,15731,20170801,0,0
44,15731,20170901,0,0
44,910637,20171001,0,0
45,15749,20170101,-9999,9
45,15749,20170201,-9999,9
45,15749,20170301,-9999,9
45,15749,20170401,-9999,9
45,15749,20170501,-9999,9
45,15749,20170601,-9999,9
45,15749,20170701,-9999,9
45,15749,20170801,-9999,9
45,15749,20170901,-9999,9
45,15749,20171001,-9999,9
46,23239,20170101,-9999,9
46,23239,20170201,-9999,9
46,23239,20170301,-9999,9
46,23239,20170401,-9999,9
46,23239,20170501,-9999,9
46,23239,20170601,-9999,9
46,23239,20170701,-9999,9
46,23239,20170801,-9999,9
46,23239,20170901,-9999,9
46,23239,20171001,-9999,9
47,11415,20170101,0,0
47,11415,20170201,0,0
47,11415,20170301,0,0
47,11415,20170401,0,0
47,11415,20170501,0,0
47,11415,20170601,0,0
47,11415,20170701,0,0
47,11415,20170801,0,0
47,11415,20170901,0,0
47,910147,20171001,0,0
48,11538,20170101,0,0
48,11538,20170201,3,0
48,11538,20170301,10,0
48,11538,20170401,0,0
48,11538,20170501,0,0
48,11538,20170601,0,0
48,11538,20170701,0,0
48,11538,20170801,0,0
48,11538,20170901,0,0
48,910962,20171001,0,0
49,15755,20170101,0,0
49,15755,20170201,0,0
49,15755,20170301,0,0
49,15755,20170401,0,0
49,15755,20170501,-9999,9
49,15755,20170601,-9999,9
49,15755,20170701,-9999,9
49,15755,20170801,-9999,9
49,15755,20170901,-9999,9
49,15755,20171001,-9999,9
50,15761,20170101,0,0
50,15761,20170201,0,0
50,15761,20170301,0,0
50,15761,20170401,0,0
50,15761,20170501,-9999,9
50,15761,20170601,-9999,9
50,15761,20170701,-9999,9
50,15761,20170801,-9999,9
50,15761,20170901,-9999,9
50,15761,20171001,-9999,9
51,11504,20170101,0,0
51,11504,20170201,0,0
51,11498,20170301,-9999,9
51,11498,20170401,-9999,9
51,11498,20170501,-9999,9
51,11498,20170601,-9999,9
51,11498,20170701,-9999,9
51,11504,20170801,0,0
51,910731,20170901,-9999,9
51,910731,20171001,-9999,9
52,15784,20170101,0,0
52,910865,20170201,-9999,9
52,910865,20170301,-9999,9
52,910865,20170401,-9999,9
52,910865,20170501,-9999,9
52,910865,20170601,-9999,9
52,910865,20170701,-9999,9
52,910865,20170801,-9999,9
52,910865,20170901,-9999,9
52,910865,20171001,-9999,9
53,26335,20170101,-9999,9
53,26335,20170201,-9999,9
53,26335,20170301,-9999,9
53,26335,20170401,-9999,9
53,26335,20170501,-9999,9
53,26335,20170601,-9999,9
53,26335,20170701,-9999,9
53,26335,20170801,-9999,9
53,26335,20170901,-9999,9
53,26335,20171001,-9999,9
54,11440,20170101,0,0
54,11440,20170201,3,0
54,11440,20170301,0,0
54,11440,20170401,0,0
54,11440,20170501,0,0
54,11440,20170601,0,0
54,11440,20170701,0,0
54,11440,20170801,0,0
54,11440,20170901,0,0
54,910379,20171001,0,0
55,11418,20170101,0,0
55,11418,20170201,6,0
55,910162,20170301,-9999,9
55,910162,20170401,-9999,9
55,910162,20170501,-9999,9
55,910162,20170601,-9999,9
55,910162,20170701,-9999,9
55,910162,20170801,-9999,9
55,910162,20170901,-9999,9
55,910162,20171001,-9999,9
58,11534,20170101,70,0
58,11534,20170201,235,0
58,11534,20170301,240,0
58,11534,20170401,300,0
58,11534,20170501,380,0
58,11534,20170601,305,0
58,11534,20170701,115,0
58,11534,20170801,0,0
58,11534,20170901,1,0
58,910961,20171001,22,0
64,5946,20170101,-9999,9
64,5946,20170201,-9999,9
64,5946,20170301,-9999,9
64,5946,20170401,-9999,9
64,5946,20170501,-9999,9
64,5946,20170601,-9999,9
64,5946,20170701,-9999,9
64,5946,20170801,-9999,9
64,5946,20170901,-9999,9
64,5946,20171001,-9999,9
65,75765,20170101,-9999,9
65,75765,20170201,-9999,9
65,75765,20170301,-9999,9
65,75765,20170401,-9999,9
65,75765,20170501,-9999,9
65,75765,20170601,-9999,9
65,75765,20170701,-9999,9
65,75765,20170801,-9999,9
65,75765,20170901,-9999,9
65,75765,20171001,-9999,9
66,75772,20170101,-9999,9
66,75772,20170201,-9999,9
66,75772,20170301,-9999,9
66,75772,20170401,-9999,9
66,75772,20170501,-9999,9
66,75772,20170601,-9999,9
66,75772,20170701,-9999,9
66,75772,20170801,-9999,9
66,75772,20170901,-9999,9
66,75772,20171001,-9999,9
67,75779,20170101,-9999,9
67,75779,20170201,-9999,9
67,75779,20170301,-9999,9
67,75779,20170401,-9999,9
67,75779,20170501,-9999,9
67,75779,20170601,-9999,9
67,75779,20170701,-9999,9
67,75779,20170801,-9999,9
67,75779,20170901,-9999,9
67,75779,20171001,-9999,9
68,75786,20170101,-9999,9
68,75786,20170201,-9999,9
68,75786,20170301,-9999,9
68,75786,20170401,-9999,9
68,75786,20170501,-9999,9
68,75786,20170601,-9999,9
68,75786,20170701,-9999,9
68,75786,20170801,-9999,9
68,75786,20170901,-9999,9
68,75786,20171001,-9999,9
70,17347,20170101,-9999,9
70,17347,20170201,-9999,9
70,17347,20170301,-9999,9
70,17347,20170401,-9999,9
70,17347,20170501,-9999,9
70,17347,20170601,-9999,9
70,17347,20170701,-9999,9
70,17347,20170801,-9999,9
70,17347,20170901,-9999,9
70,17347,20171001,-9999,9
71,16823,20170101,-9999,9
71,16823,20170201,-9999,9
71,16823,20170301,-9999,9
71,16823,20170401,-9999,9
71,16823,20170501,-9999,9
71,16823,20170601,-9999,9
71,16823,20170701,-9999,9
71,16823,20170801,-9999,9
71,16823,20170901,-9999,9
71,16823,20171001,-9999,9
72,17380,20170101,-9999,9
72,17380,20170201,-9999,9
72,17380,20170301,-9999,9
72,17380,20170401,-9999,9
72,17380,20170501,-9999,9
72,17380,20170601,-9999,9
72,17380,20170701,-9999,9
72,17380,20170801,-9999,9
72,17380,20170901,-9999,9
72,17380,20171001,-9999,9
73,934880,20170101,-9999,9
73,17373,20170201,-9999,9
73,17373,20170301,-9999,9
73,17373,20170401,-9999,9
73,17373,20170501,-9999,9
73,17373,20170601,-9999,9
73,17373,20170701,-9999,9
73,17373,20170801,-9999,9
73,17373,20170901,-9999,9
73,17373,20171001,-9999,9
74,17029,20170101,-9999,9
74,17029,20170201,-9999,9
74,17029,20170301,-9999,9
74,17029,20170401,-9999,9
74,17029,20170501,-9999,9
74,17029,20170601,-9999,9
74,17029,20170701,-9999,9
74,17029,20170801,-9999,9
74,17029,20170901,-9999,9
74,17029,20171001,-9999,9
75,16841,20170101,-9999,9
75,16841,20170201,-9999,9
75,16841,20170301,-9999,9
75,16841,20170401,-9999,9
75,16841,20170501,-9999,9
75,16841,20170601,-9999,9
75,16841,20170701,-9999,9
75,16841,20170801,-9999,9
75,16841,20170901,-9999,9
75,16841,20171001,-9999,9
76,17052,20170101,-9999,9
76,17052,20170201,-9999,9
76,17052,20170301,-9999,9
76,17052,20170401,-9999,9
76,17052,20170501,-9999,9
76,17052,20170601,-9999,9
76,17052,20170701,-9999,9
76,17052,20170801,-9999,9
76,17052,20170901,-9999,9
76,17052,20171001,-9999,9
77,926702,20170101,-9999,9
77,926702,20170201,-9999,9
77,926702,20170301,-9999,9
77,926702,20170401,0,0
77,926702,20170501,0,0
77,926702,20170601,0,0
77,926702,20170701,0,0
77,926702,20170801,0,0
77,926702,20170901,0,0
77,926702,20171001,0,0
78,922217,20170101,33,0
78,922217,20170201,44,0
78,922217,20170301,51,0
78,922217,20170401,56,0
78,922217,20170501,29,0
78,922217,20170601,0,0
78,922217,20170701,0,0
78,922217,20170801,0,0
78,922217,20170901,0,0
78,922217,20171001,0,0
79,922520,20170101,11,0
79,922520,20170201,13,0
79,922520,20170301,15,0
79,922520,20170401,-9999,9
79,922520,20170501,-2,1
