"STAID","SOUID","DATE","SS","Q_SS"
11,911012,20170101,-9999,9
11,911012,20170201,-9999,9
11,911012,20170301,-9999,9
11,911012,20170401,-9999,9
11,911012,20170501,20,0
11,911012,20170601,19,0
11,911012,20170701,6,0
11,911012,20170801,30,0
11,911012,20170901,0,0
11,911012,20171001,0,0
12,911240,20170101,78,0
12,911240,20170201,1,0
12,911240,20170301,22,0
12,911240,20170401,118,0
12,911290,20170501,6,0
12,911290,20170601,18,0
12,911290,20170701,3,0
12,911290,20170801,30,0
12,911290,20170901,6,0
12,911290,20171001,16,0
13,911120,20170101,61,0
13,911120,20170201,0,0
13,911120,20170301,16,0
13,911120,20170401,116,0
13,911120,20170501,133,0
13,911120,20170601,53,0
13,911120,20170701,71,0
13,911120,20170801,88,0
13,911120,20170901,55,0
13,911120,20171001,41,0
15,911146,20170101,-9999,9
15,911146,20170201,-9999,9
15,911146,20170301,-9999,9
15,911146,20170401,-9999,9
15,911146,20170501,20,0
15,911146,20170601,10,0
15,911146,20170701,4,0
15,911146,20170801,28,0
15,911146,20170901,0,0
15,911146,20171001,0,0
16,911035,20170101,-9999,9
16,911035,20170201,-9999,9
16,911035,20170301,-9999,9
16,911035,20170401,-9999,9
16,911035,20170501,10,0
16,911035,20170601,22,0
16,911035,20170701,20,0
16,911035,20170801,30,0
16,911035,20170901,3,0
16,911035,20171001,16,0
21,5223,20170101,-9999,9
21,5223,20170201,-9999,9
21,5223,20170301,-9999,9
21,5223,20170401,-9999,9
21,5223,20170501,-9999,9
21,5223,20170601,-9999,9
21,5223,20170701,-9999,9
21,5223,20170801,-9999,9
21,5223,20170901,-9999,9
21,5223,20171001,-9999,9
23,917609,20170101,78,0
23,917609,20170201,66,0
23,917609,20170301,8,0
23,917609,20170401,61,0
23,917609,20170501,88,0
23,917609,20170601,125,0
23,917609,20170701,129,0
23,917609,20170801,130,0
23,917609,20170901,110,0
23,917609,20171001,78,0
25,15569,20170101,-9999,9
25,15569,20170201,-9999,9
25,15569,20170301,-9999,9
25,15569,20170401,-9999,9
25,15569,20170501,-9999,9
25,15569,20170601,-9999,9
25,15569,20170701,-9999,9
25,15569,20170801,-9999,9
25,15569,20170901,-9999,9
25,15569,20171001,-9999,9
26,15570,20170101,-9999,9
26,15570,20170201,-9999,9
26,15570,20170301,-9999,9
26,15570,20170401,-9999,9
26,15570,20170501,-9999,9
26,15570,20170601,-9999,9
26,15570,20170701,-9999,9
26,15570,20170801,-9999,9
26,15570,20170901,-9999,9
26,15570,20171001,-9999,9
36,4959,20170101,-9999,9
36,4959,20170201,-9999,9
36,4959,20170301,-9999,9
36,4959,20170401,-9999,9
36,4959,20170501,-9999,9
36,4959,20170601,-9999,9
36,4959,20170701,-9999,9
36,4959,20170801,-9999,9
36,4959,20170901,-9999,9
36,4959,20171001,-9999,9
39,4891,20170101,-9999,9
39,4891,20170201,-9999,9
39,4891,20170301,-9999,9
39,4891,20170401,-9999,9
39,4891,20170501,-9999,9
39,4891,20170601,-9999,9
39,4891,20170701,-9999,9
39,4891,20170801,-9999,9
39,4891,20170901,-9999,9
