"STAID","STANAME","CN","LAT","LON","HGHT"
1,"VAEXJOE","SE","+56:52:00","+014:48:00",166
2,"FALUN","SE","+60:37:00","+015:37:00",160
3,"STENSELE","SE","+65:04:00","+017:09:59",325
4,"LINKOEPING","SE","+58:24:00","+015:31:59",93
5,"LINKOEPING-MALMSLAETT","SE","+58:24:00","+015:31:59",93
7,"KARLSTAD-AIRPORT","SE","+59:26:40","+013:20:15",107
8,"OESTERSUND","SE","+63:10:59","+014:28:59",376
10,"STOCKHOLM","SE","+59:21:00","+018:03:00",44
11,"KREMSMUENSTER","AT","+48:03:00","+014:07:59",383
12,"GRAZ","AT","+47:04:59","+015:27:00",366
13,"INNSBRUCK","AT","+47:16:00","+011:24:00",577
14,"SALZBURG","AT","+47:48:00","+013:00:00",437
15,"SONNBLICK","AT","+47:03:00","+012:57:00",3106
16,"WIEN","AT","+48:13:59","+016:21:00",198
21,"ZAGREB-GRIC","HR","+45:49:00","+015:58:41",156
40,"BAMBERG","DE","+49:52:31","+010:55:18",240
41,"BERLIN-DAHLEM","DE","+52:27:50","+013:18:06",51
42,"BREMEN","DE","+53:02:47","+008:47:57",4
43,"DRESDEN WAHNSDORF","DE","+51:07:00","+013:40:59",246
44,"FRANKFURT","DE","+50:02:47","+008:35:54",112
45,"HALLE","DE","+51:30:52","+011:57:02",93
46,"HAMBURG BERGEDORF","DE","+53:28:50","+010:14:34",35
47,"HAMBURG FUHLSBUETTEL","DE","+53:38:06","+009:59:24",11
48,"HOHENPEISSENBERG","DE","+47:48:06","+011:00:42",977
49,"JENA STERNWARTE","DE","+50:55:36","+011:35:03",155
50,"KAISERSLAUTERN","DE","+49:25:31","+007:44:12",285
51,"KARLSRUHE","DE","+49:02:21","+008:21:54",112
52,"MUENCHEN","DE","+48:09:51","+011:32:39",515
53,"MUENSTER","DE","+51:57:02","+007:35:29",62
54,"POTSDAM","DE","+52:23:00","+013:03:50",81
55,"SCHWERIN","DE","+53:38:39","+011:23:18",59
58,"ZUGSPITZE","DE","+47:25:19","+010:59:12",2964
59,"CORFU","GR","+39:37:00","+019:55:00",11
60,"HELLINIKON","GR","+37:54:00","+023:45:00",10
61,"HERAKLION","GR","+35:19:59","+025:10:59",39
62,"LARISSA","GR","+39:39:00","+022:27:00",72
63,"METHONI","GR","+36:49:59","+021:42:00",51
64,"BUDAPEST","HU","+47:30:39","+019:01:14",153
65,"DALATANGI","IS","+65:16:05","-013:34:32",9
66,"REYKJAVIK","IS","+64:07:37","-021:54:09",52
67,"STYKKISHOLMUR","IS","+65:04:26","-022:44:00",13
68,"TEIGARHORN","IS","+64:40:33","-014:20:38",14
113,"TRANEBJERG","DK","+55:51:00","+010:36:00",11
160,"DEN HELDER","NL","+52:57:41","+004:44:49",4
161,"DE KOOY","NL","+52:55:36","+004:46:51",1
162,"DE BILT","NL","+52:05:56","+005:10:46",1
163,"GRONINGEN","NL","+53:13:00","+006:33:00",2
164,"EELDE","NL","+53:07:24","+006:35:04",5
166,"VLISSINGEN","NL","+51:26:29","+003:35:44",8
167,"MAASTRICHT-1","NL","+50:51:00","+005:40:59",49
168,"MAASTRICHT","NL","+50:54:19","+005:45:42",114
174,"BRINDISI","IT","+40:37:59","+017:55:59",10
175,"CAGLIARI","IT","+39:13:59","+009:03:00",21
176,"ROMA CIAMPINO","IT","+41:46:59","+012:34:59",105
177,"VERONA VILLAFRANCA","IT","+45:22:59","+010:52:00",68
