"STAID","SOUID","DATE","TG","Q_TG"
1,35381,20170101,-9999,9
1,35381,20170201,-9999,9
1,35381,20170301,-9999,9
1,35381,20170401,-9999,9
1,35381,20170501,-9999,9
1,35381,20170601,-9999,9
1,35381,20170701,-9999,9
1,35381,20170801,-9999,9
1,35381,20170901,-9999,9
1,35381,20171001,-9999,9
2,36437,20170101,-9999,9
2,36437,20170201,-9999,9
2,36437,20170301,-9999,9
2,36437,20170401,-9999,9
2,36437,20170501,-9999,9
2,36437,20170601,-9999,9
2,36437,20170701,-9999,9
2,36437,20170801,-9999,9
2,36437,20170901,-9999,9
2,36437,20171001,-9999,9
3,37076,20170101,-9999,9
3,37076,20170201,-9999,9
3,37076,20170301,-9999,9
3,37076,20170401,-9999,9
3,37076,20170501,-9999,9
3,37076,20170601,-9999,9
3,37076,20170701,-9999,9
3,37076,20170801,-9999,9
3,37076,20170901,-9999,9
3,37076,20171001,-9999,9
4,902562,20170101,48,0
4,902562,20170201,-3,0
4,902562,20170301,33,0
4,902562,20170401,92,0
4,902562,20170501,60,0
4,902562,20170601,103,0
4,902562,20170701,173,0
4,902562,20170801,177,0
4,902562,20170901,140,0
4,902562,20171001,102,0
5,902562,20170101,48,0
5,902562,20170201,-3,0
5,902562,20170301,33,0
5,902562,20170401,92,0
5,902562,20170501,60,0
5,902562,20170601,103,0
5,902562,20170701,173,0
5,902562,20170801,177,0
5,902562,20170901,140,0
5,902562,20171001,102,0
6,36152,20170101,-9999,9
6,36152,20170201,-9999,9
6,36152,20170301,-9999,9
6,36152,20170401,-9999,9
6,36152,20170501,-9999,9
6,36152,20170601,-9999,9
6,36152,20170701,-9999,9
6,36152,20170801,-9999,9
6,36152,20170901,-9999,9
6,36152,20171001,-9999,9
7,902418,20170101,45,0
7,902418,20170201,-1,0
7,902418,20170301,18,0
7,902418,20170401,87,0
7,902418,20170501,59,0
7,902418,20170601,102,0
7,902418,20170701,190,0
7,902418,20170801,163,0
7,902418,20170901,107,0
7,902418,20171001,113,0
8,902226,20170101,-6,0
8,902226,20170201,-96,0
8,902226,20170301,-28,0
8,902226,20170401,44,0
8,902226,20170501,45,0
8,902226,20170601,52,0
8,902226,20170701,160,0
8,902226,20170801,143,0
8,902226,20170901,108,0
8,902226,20171001,86,0
9,902226,20170101,-6,0
9,902226,20170201,-96,0
9,902226,20170301,-28,0
9,902226,20170401,44,0
9,902226,20170501,45,0
9,902226,20170601,52,0
9,902226,20170701,160,0
9,902226,20170801,143,0
9,902226,20170901,108,0
9,902226,20171001,86,0
10,902484,20170101,49,0
10,902484,20170201,7,0
10,902484,20170301,34,0
10,902484,20170401,71,0
10,902484,20170501,100,0
10,902484,20170601,113,0
10,902484,20170701,165,0
10,902484,20170801,201,0
10,902484,20170901,147,0
10,902484,20171001,118,0
11,911012,20170101,-58,0
11,911012,20170201,-17,0
11,911012,20170301,61,0
11,911012,20170401,153,0
11,911012,20170501,116,0
11,911012,20170601,210,0
11,911012,20170701,182,0
11,911012,20170801,268,0
11,911012,20170901,173,0
11,911012,20171001,121,0
12,911290,20170101,-12,0
12,911290,20170201,-18,0
12,911290,20170301,82,0
12,911290,20170401,149,0
12,911290,20170501,125,0
12,911290,20170601,213,0
12,911290,20170701,211,0
12,911290,20170801,265,0
12,911290,20170901,212,0
12,911290,20171001,114,0
13,911120,20170101,-18,0
13,911120,20170201,25,0
13,911120,20170301,55,0
13,911120,20170401,126,0
13,911120,20170501,109,0
13,911120,20170601,199,0
13,911120,20170701,164,0
13,911120,20170801,251,0
13,911120,20170901,145,0
13,911120,20171001,130,0
14,32276,20170101,-53,0
14,32276,20170201,10,0
14,32276,20170301,51,0
14,32276,20170401,130,0
14,32276,20170501,79,0
14,32276,20170601,189,0
14,32276,20170701,164,0
14,32276,20170801,246,0
14,32276,20170901,139,0
14,911150,20171001,126,0
15,911146,20170101,-54,0
15,911146,20170201,-86,0
15,911146,20170301,-122,0
15,911146,20170401,-33,0
15,911146,20170501,-53,0
15,911146,20170601,45,0
15,911146,20170701,-9,0
15,911146,20170801,98,0
15,911146,20170901,29,0
15,911146,20171001,-3,0
16,911035,20170101,-33,0
16,911035,20170201,-26,0
16,911035,20170301,88,0
16,911035,20170401,169,0
16,911035,20170501,136,0
16,911035,20170601,231,0
16,911035,20170701,209,0
16,911035,20170801,289,0
16,911035,20170901,209,0
16,911035,20171001,138,0
21,914236,20170101,-10,0
21,914236,20170201,17,0
21,914236,20170301,72,0
21,914236,20170401,181,0
21,914236,20170501,159,0
21,914236,20170601,235,0
21,914236,20170701,219,0
21,914236,20170801,284,0
21,914236,20170901,244,0
21,914236,20171001,125,0
22,15577,20170101,-9999,9
22,15577,20170201,-9999,9
22,15577,20170301,-9999,9
22,15577,20170401,-9999,9
22,15577,20170501,-9999,9
22,15577,20170601,-9999,9
22,15577,20170701,-9999,9
22,15577,20170801,-9999,9
22,15577,20170901,-9999,9
22,15577,20171001,-9999,9
23,917609,20170101,100,0
23,917609,20170201,62,0
23,917609,20170301,196,0
23,917609,20170401,145,0
23,917609,20170501,208,0
23,917609,20170601,233,0
23,917609,20170701,319,0
23,917609,20170801,295,0
23,917609,20170901,280,0
23,917609,20171001,235,0
24,917601,20170101,102,0
24,917601,20170201,94,0
24,917601,20170301,200,0
24,917601,20170401,157,0
24,917601,20170501,210,0
24,917601,20170601,218,0
24,917601,20170701,313,0
24,917601,20170801,302,0
24,917601,20170901,271,0
24,917601,20171001,235,0
25,15581,20170101,-9999,9
25,15581,20170201,-9999,9
25,15581,20170301,-9999,9
25,15581,20170401,-9999,9
25,15581,20170501,-9999,9
25,15581,20170601,-9999,9
25,15581,20170701,-9999,9
25,15581,20170801,-9999,9
25,15581,20170901,-9999,9
25,15581,20171001,-9999,9
26,15583,20170101,-9999,9
26,15583,20170201,-9999,9
26,15583,20170301,-9999,9
26,15583,20170401,-9999,9
26,15583,20170501,-9999,9
26,15583,20170601,-9999,9
26,15583,20170701,-9999,9
26,15583,20170801,-9999,9
26,15583,20170901,-9999,9
26,15583,20171001,-9999,9
27,80,20170101,-37,0
27,80,20170201,-14,0
27,80,20170301,64,0
27,80,20170401,160,0
27,80,20170501,135,0
27,80,20170601,205,0
27,80,20170701,203,0
27,80,20170801,288,0
27,80,20170901,139,0
27,80,20171001,-9999,9
28,84,20170101,13,0
28,84,20170201,-3,0
28,84,20170301,16,0
28,84,20170401,19,0
28,84,20170501,68,0
28,84,20170601,69,0
28,84,20170701,140,0
28,84,20170801,189,0
28,84,20170901,154,0
28,84,20171001,95,0
29,88,20170101,-20,0
29,88,20170201,-35,0
29,88,20170301,16,0
29,88,20170401,-7,0
29,88,20170501,41,0
29,88,20170601,44,0
29,88,20170701,167,0
29,88,20170801,174,0
29,88,20170901,130,0
29,88,20171001,64,0
30,92,20170101,-86,0
30,92,20170201,-161,0
30,92,20170301,-58,0
30,92,20170401,-32,0
30,92,20170501,24,0
30,92,20170601,22,0
30,92,20170701,171,0
30,92,20170801,142,0
30,92,20170901,88,0
30,92,20171001,42,0
31,838,20170101,-9999,9
31,838,20170201,-9999,9
31,838,20170301,-9999,9
31,838,20170401,-9999,9
31,838,20170501,-9999,9
31,838,20170601,-9999,9
31,838,20170701,-9999,9
31,838,20170801,-9999,9
31,838,20170901,-9999,9
31,838,20171001,-9999,9
32,907255,20170101,-15,0
32,907255,20170201,84,0
32,907255,20170301,83,0
32,907255,20170401,117,0
32,907255,20170501,103,0
32,907255,20170601,210,0
32,907255,20170701,150,0
32,907255,20170801,210,0
32,907255,20170901,151,0
32,907255,20171001,124,0
33,907630,20170101,19,0
33,907630,20170201,121,0
33,907630,20170301,94,0
33,907630,20170401,116,0
33,907630,20170501,107,0
33,907630,20170601,225,0
33,907630,20170701,167,0
33,907630,20170801,242,0
33,907630,20170901,186,0
33,907630,20171001,150,0
34,907510,20170101,38,0
34,907510,20170201,124,0
34,907510,20170301,105,0
34,907510,20170401,119,0
34,907510,20170501,111,0
34,907510,20170601,214,0
34,907510,20170701,162,0
34,907510,20170801,219,0
34,907510,20170901,158,0
34,907510,20171001,163,0
36,907747,20170101,61,0
36,907747,20170201,114,0
36,907747,20170301,118,0
36,907747,20170401,127,0
36,907747,20170501,139,0
36,907747,20170601,211,0
36,907747,20170701,207,0
36,907747,20170801,265,0
36,907747,20170901,215,0
36,907747,20171001,187,0
37,907481,20170101,5,0
37,907481,20170201,113,0
37,907481,20170301,67,0
37,907481,20170401,128,0
37,907481,20170501,99,0
37,907481,20170601,214,0
37,907481,20170701,167,0
37,907481,20170801,270,0
37,907481,20170901,162,0
37,907481,20171001,140,0
39,907650,20170101,77,0
39,907650,20170201,128,0
39,907650,20170301,84,0
39,907650,20170401,124,0
39,907650,20170501,128,0
39,907650,20170601,226,0
39,907650,20170701,218,0
39,907650,20170801,327,0
39,907650,20170901,209,0
39,907650,20171001,187,0
40,128,20170101,-67,0
40,128,20170201,8,0
40,128,20170301,59,0
40,128,20170401,130,0
40,128,20170501,95,0
40,128,20170601,174,0
40,128,20170701,158,0
40,128,20170801,232,0
40,128,20170901,141,0
40,910675,20171001,118,0
41,11448,20170101,23,0
41,11448,20170201,-6,0
41,11448,20170301,46,0
41,11448,20170401,165,0
41,11448,20170501,111,0
41,11448,20170601,163,0
41,11448,20170701,159,0
41,11448,20170801,242,0
41,11448,20170901,153,0
41,910381,20171001,127,0
42,138,20170101,25,0
42,138,20170201,14,0
42,138,20170301,42,0
42,138,20170401,137,0
42,138,20170501,120,0
42,138,20170601,142,0
42,138,20170701,162,0
42,138,20170801,199,0
42,138,20170901,140,0
42,910224,20171001,122,0
43,2302,20170101,-37,0
43,2302,20170201,-29,0
43,2302,20170301,53,0
43,2302,20170401,165,0
43,2302,20170501,115,0
43,2302,20170601,156,0
43,2302,20170701,165,0
43,2302,20170801,239,0
43,2302,20170901,132,0
43,910488,20171001,135,0
44,148,20170101,-30,0
44,148,20170201,38,0
44,148,20170301,68,0
44,148,20170401,139,0
44,148,20170501,97,0
44,148,20170601,210,0
44,148,20170701,163,0
44,148,20170801,216,0
44,148,20170901,154,0
44,910637,20171001,118,0
45,153,20170101,-9999,9
45,153,20170201,-9999,9
45,153,20170301,-9999,9
45,153,20170401,-9999,9
45,153,20170501,-9999,9
45,153,20170601,-9999,9
45,153,20170701,-9999,9
45,153,20170801,-9999,9
45,153,20170901,-9999,9
45,153,20171001,-9999,9
46,158,20170101,-9999,9
46,158,20170201,-9999,9
46,158,20170301,-9999,9
46,158,20170401,-9999,9
46,158,20170501,-9999,9
46,158,20170601,-9999,9
46,158,20170701,-9999,9
46,158,20170801,-9999,9
46,158,20170901,-9999,9
46,158,20171001,-9999,9
47,11417,20170101,35,0
47,11417,20170201,11,0
47,11417,20170301,41,0
47,11417,20170401,143,0
47,11417,20170501,112,0
47,11417,20170601,132,0
47,11417,20170701,157,0
47,11417,20170801,189,0
47,11417,20170901,138,0
47,910147,20171001,144,0
48,167,20170101,52,0
48,167,20170201,20,0
48,167,20170301,16,0
48,167,20170401,136,0
48,167,20170501,44,0
48,167,20170601,161,0
48,167,20170701,133,0
48,167,20170801,242,0
48,167,20170901,99,0
48,910962,20171001,116,0
49,172,20170101,-41,0
49,172,20170201,15,0
49,172,20170301,62,0
49,172,20170401,135,0
49,172,20170501,122,0
49,172,20170601,177,0
49,172,20170701,169,0
49,172,20170801,241,0
49,172,20170901,147,0
49,172,20171001,-9999,9
50,177,20170101,-31,0
50,177,20170201,24,0
50,177,20170301,54,0
50,177,20170401,125,0
50,177,20170501,94,0
50,177,20170601,197,0
50,177,20170701,149,0
50,177,20170801,199,0
50,177,20170901,142,0
50,177,20171001,-9999,9
51,11506,20170101,-25,0
51,11506,20170201,27,0
51,11506,20170301,69,0
51,11506,20170401,129,0
51,11506,20170501,92,0
51,11506,20170601,209,0
51,11506,20170701,162,0
51,11506,20170801,231,0
51,11506,20170901,160,0
51,910731,20171001,135,0
52,187,20170101,-33,0
52,187,20170201,21,0
