"STAID","SOUID","DATE","TN","Q_TN"
1,35383,20170101,-9999,9
1,35383,20170201,-9999,9
1,35383,20170301,-9999,9
1,35383,20170401,-9999,9
1,35383,20170501,-9999,9
1,35383,20170601,-9999,9
1,35383,20170701,-9999,9
1,35383,20170801,-9999,9
1,35383,20170901,-9999,9
1,35383,20171001,-9999,9
2,36439,20170101,-9999,9
2,36439,20170201,-9999,9
2,36439,20170301,-9999,9
2,36439,20170401,-9999,9
2,36439,20170501,-9999,9
2,36439,20170601,-9999,9
2,36439,20170701,-9999,9
2,36439,20170801,-9999,9
2,36439,20170901,-9999,9
2,36439,20171001,-9999,9
3,37078,20170101,-9999,9
3,37078,20170201,-9999,9
3,37078,20170301,-9999,9
3,37078,20170401,-9999,9
3,37078,20170501,-9999,9
3,37078,20170601,-9999,9
3,37078,20170701,-9999,9
3,37078,20170801,-9999,9
3,37078,20170901,-9999,9
3,37078,20171001,-9999,9
4,902562,20170101,1,0
4,902562,20170201,-14,0
4,902562,20170301,0,0
4,902562,20170401,35,0
4,902562,20170501,-36,0
4,902562,20170601,47,0
4,902562,20170701,136,0
4,902562,20170801,116,0
4,902562,20170901,91,0
4,902562,20171001,52,0
5,902562,20170101,1,0
5,902562,20170201,-14,0
5,902562,20170301,0,0
5,902562,20170401,35,0
5,902562,20170501,-36,0
5,902562,20170601,47,0
5,902562,20170701,136,0
5,902562,20170801,116,0
5,902562,20170901,91,0
5,902562,20171001,52,0
6,36154,20170101,-9999,9
6,36154,20170201,-9999,9
6,36154,20170301,-9999,9
6,36154,20170401,-9999,9
6,36154,20170501,-9999,9
6,36154,20170601,-9999,9
6,36154,20170701,-9999,9
6,36154,20170801,-9999,9
6,36154,20170901,-9999,9
6,36154,20171001,-9999,9
7,902418,20170101,-1,0
7,902418,20170201,-15,0
7,902418,20170301,1,0
7,902418,20170401,40,0
7,902418,20170501,-25,0
7,902418,20170601,34,0
7,902418,20170701,121,0
7,902418,20170801,111,0
7,902418,20170901,46,0
7,902418,20171001,86,0
8,902226,20170101,-28,0
8,902226,20170201,-128,0
8,902226,20170301,-58,0
8,902226,20170401,1,0
8,902226,20170501,4,0
8,902226,20170601,25,0
8,902226,20170701,100,0
8,902226,20170801,107,0
8,902226,20170901,85,0
8,902226,20171001,70,0
9,902226,20170101,-28,0
9,902226,20170201,-128,0
9,902226,20170301,-58,0
9,902226,20170401,1,0
9,902226,20170501,4,0
9,902226,20170601,25,0
9,902226,20170701,100,0
9,902226,20170801,107,0
9,902226,20170901,85,0
9,902226,20171001,70,0
10,902484,20170101,6,0
10,902484,20170201,-4,0
10,902484,20170301,12,0
10,902484,20170401,21,0
10,902484,20170501,44,0
10,902484,20170601,75,0
10,902484,20170701,134,0
10,902484,20170801,156,0
10,902484,20170901,111,0
10,902484,20171001,91,0
11,911012,20170101,-79,0
11,911012,20170201,-28,0
11,911012,20170301,26,0
11,911012,20170401,80,0
11,911012,20170501,31,0
11,911012,20170601,170,0
11,911012,20170701,129,0
11,911012,20170801,185,0
11,911012,20170901,141,0
11,911012,20171001,91,0
12,911290,20170101,-75,0
12,911290,20170201,-44,0
12,911290,20170301,44,0
12,911290,20170401,65,0
12,911290,20170501,81,0
12,911290,20170601,170,0
12,911290,20170701,167,0
12,911290,20170801,195,0
12,911290,20170901,164,0
12,911290,20171001,54,0
13,911120,20170101,-91,0
13,911120,20170201,10,0
13,911120,20170301,6,0
13,911120,20170401,56,0
13,911120,20170501,47,0
13,911120,20170601,154,0
13,911120,20170701,117,0
13,911120,20170801,161,0
13,911120,20170901,139,0
13,911120,20171001,125,0
14,32277,20170101,-103,0
14,32277,20170201,1,0
14,32277,20170301,24,0
14,32277,20170401,23,0
14,32277,20170501,-10,0
14,32277,20170601,130,0
14,32277,20170701,120,0
14,32277,20170801,143,0
14,32277,20170901,123,0
14,911150,20171001,109,0
15,911146,20170101,-69,0
15,911146,20170201,-99,0
15,911146,20170301,-159,0
15,911146,20170401,-44,0
15,911146,20170501,-76,0
15,911146,20170601,19,0
15,911146,20170701,-33,0
15,911146,20170801,74,0
15,911146,20170901,-18,0
15,911146,20171001,-14,0
16,911035,20170101,-61,0
16,911035,20170201,-43,0
16,911035,20170301,57,0
16,911035,20170401,102,0
16,911035,20170501,96,0
16,911035,20170601,191,0
16,911035,20170701,155,0
16,911035,20170801,217,0
16,911035,20170901,155,0
16,911035,20171001,87,0
17,906447,20170101,-30,0
17,906447,20170201,11,0
17,906447,20170301,30,0
17,906447,20170401,99,0
17,906447,20170501,95,0
17,906447,20170601,131,0
17,906447,20170701,140,0
17,906447,20170801,137,0
17,906447,20170901,99,0
17,906447,20171001,107,0
21,914236,20170101,-54,0
21,914236,20170201,-11,0
21,914236,20170301,49,0
21,914236,20170401,111,0
21,914236,20170501,111,0
21,914236,20170601,184,0
